loan_app_id,member_id,loan_amount,funded_amount,investors_amount,term,int_rate,monthly_installment,risk_grade,risk_sub_grade,emp_length,home_ownership,annual_income,verification_status,issue_date,loan_status,purpose_of_loan,addr_state,dti,delinq_in2yrs,earliest_cr_line,Inquiry_last_6mths,mths_since_last_delinq,open_acc,no.of_negative_financial_records,credit_bal_left,%credit_bal_left,total_credit_acc,total_pymnt_paid,total_pymnt_paid_to_inv,principal_receive,principal_received_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_date,last_pymnt_amnt,credit-info_last_checked,pub_rec_bankruptcies
540179,697401,10000,10000,9975, 36 months,13.23%,338.05,C,C1,4 years,RENT,37000,Not Verified,Jul-10,0,debt_consolidation,PA,16.86,0,Sep-02,0,37,9,0,10217,62.70%,14,11973.61059,11943.68,10000,1973.61,0,0,0,Sep-12,3536.63,Mar-14,0
585434,752191,14000,14000,13775, 36 months,7.88%,437.94,A,A5,< 1 year,RENT,105000,Not Verified,Sep-10,0,credit_card,CA,6.33,0,Jul-05,0,,9,0,13307,28.80%,18,15723.48422,15470.79,14000,1723.48,0,0,0,May-13,2603.31,Jan-16,0
457736,569298,9475,9475,9475, 36 months,8.94%,301.04,A,A5,9 years,OWN,27000,Not Verified,Nov-09,0,debt_consolidation,IL,7.07,0,May-99,0,,5,0,7866,44.70%,17,10472.08699,10472.09,9475,997.09,0,0,0,May-11,5365.49,Aug-15,0
734349,930860,4000,4000,4000, 36 months,7.29%,124.04,A,A4,10+ years,OWN,35000,Not Verified,Apr-11,0,credit_card,NC,28.8,0,Dec-97,0,,13,0,29358,69.10%,18,4425.256588,4425.26,4000,425.26,0,0,0,Jul-13,1336.22,May-15,0
1050080,1281522,3600,3600,3600, 36 months,6.62%,110.54,A,A2,1 year,RENT,60000,Not Verified,Dec-11,1,debt_consolidation,VA,21.54,0,Apr-99,1,,12,0,15502,70.10%,32,2321.34,2321.34,2004.17,306.88,0,10.29,0,Sep-13,110.54,May-16,0
788061,991689,7200,7200,7175, 36 months,8.49%,227.26,A,A5,2 years,RENT,60000,Not Verified,Jun-11,0,debt_consolidation,FL,6.96,0,Sep-03,1,,12,0,6302,63%,19,7573.602714,7547.31,7200,373.6,0,0,0,Apr-12,2264.83,Oct-15,0
499699,641483,15000,15000,14675, 36 months,16.07%,527.91,D,D5,< 1 year,MORTGAGE,136000,Verified,Apr-10,0,debt_consolidation,MA,12.08,0,Jun-95,0,35,9,0,35040,91%,21,19006.31026,18594.51,15000,4006.31,0,0,0,Apr-13,597.02,Mar-14,0
1065513,1299629,18000,18000,18000, 60 months,16.77%,445.13,D,D2,6 years,OWN,40000,Not Verified,Dec-11,1,home_improvement,CA,18.42,0,Nov-00,3,,7,0,11147,73.40%,20,11229.37,11229.37,4677.94,4651.94,0,1899.49,18.8164,Oct-13,445.13,Feb-14,0
729827,925654,8000,8000,8000, 36 months,10.74%,260.93,B,B4,6 years,RENT,30000,Not Verified,Apr-11,0,debt_consolidation,NM,17.56,1,Jun-92,0,5,14,0,12183,37.50%,24,9393.303534,9393.3,8000,1393.3,0,0,0,May-14,273.22,Oct-14,0
841749,1052330,3500,3500,3475, 36 months,8.49%,110.48,A,A5,6 years,RENT,26400,Not Verified,Aug-11,1,debt_consolidation,FL,7.27,0,Jul-88,0,,4,0,6118,55.10%,8,1780.31,1767.63,1339.94,303.16,0,137.21,1.39,Nov-12,110.48,Apr-13,0
1012204,1239111,15000,15000,14975, 60 months,15.96%,364.46,C,C5,4 years,RENT,45500,Source Verified,Nov-11,1,debt_consolidation,FL,16.59,0,Nov-02,1,,11,0,8757,52.40%,18,9998.93,9982.36,3732.18,3554.91,0,2711.84,488.1312,Aug-13,46.76,Jan-14,0
821741,1030123,6275,6275,6275, 60 months,13.49%,144.36,C,C2,2 years,RENT,60000,Source Verified,Jul-11,0,car,MA,15.24,0,Oct-97,3,,13,0,9040,32.20%,24,7990.575621,7990.58,6275,1715.58,0,0,0,Feb-14,3815.53,Mar-16,0
119043,119040,15450,15450,600, 36 months,11.22%,507.46,C,C4,2 years,MORTGAGE,40000,Not Verified,Aug-07,1,debt_consolidation,VA,13.5,0,Nov-92,3,54,13,1,6513,34.30%,29,11652.75,451.73,8688.59,2659.96,0,304.2,3.09,Oct-09,1016.15,Mar-10,1
1047572,1278466,10000,10000,10000, 36 months,6.03%,304.36,A,A1,7 years,MORTGAGE,70000,Verified,Dec-11,0,other,TX,12.29,0,Jun-03,0,,9,0,5844,12.80%,18,10366.44568,10366.45,10000,366.45,0,0,0,Aug-12,8238.02,Sep-12,0
828134,1037141,6000,6000,6000, 36 months,14.79%,207.38,C,C4,5 years,RENT,50000,Source Verified,Jul-11,0,debt_consolidation,NJ,21.12,0,Nov-02,2,42,10,0,5231,73.70%,14,7214.615654,7214.62,6000,1214.62,0,0,0,Jun-13,2871.12,May-16,0
748450,947493,12000,12000,12000, 36 months,17.49%,430.77,D,D5,4 years,MORTGAGE,60000,Verified,May-11,1,small_business,FL,6.76,0,Apr-01,1,36,6,0,11402,86.40%,18,4630.94,4630.94,2726.74,1570.76,0,333.44,3.5,Mar-12,430.77,Aug-12,0
1007010,1233367,6500,6500,6500, 36 months,11.71%,215,B,B3,10+ years,MORTGAGE,38492,Source Verified,Nov-11,0,other,VA,18.21,0,Nov-97,1,,9,1,2371,16.70%,20,7677.318335,7677.32,6500,1177.32,0,0,0,Apr-14,1116.41,Apr-14,1
415553,483138,3400,3400,3325, 36 months,12.21%,113.28,B,B5,1 year,RENT,147000,Not Verified,Jun-09,1,other,NY,22.56,0,Jun-97,0,,8,0,67843,91.80%,24,2147.57,2100.26,1636.51,511.06,0,0,0,Jan-11,113.28,Feb-11,0
1004167,1230573,8000,8000,8000, 36 months,7.90%,250.33,A,A4,1 year,RENT,40000,Source Verified,Oct-11,1,credit_card,OH,12.66,0,Oct-07,0,,6,0,6609,44.10%,14,2501.8,2501.8,2035.01,466.79,0,0,0,Sep-12,250.33,May-16,0
540721,698065,10000,10000,9750, 36 months,7.88%,312.82,A,A5,3 years,RENT,120000,Verified,Jul-10,0,wedding,NY,2.95,0,Sep-01,3,32,9,0,1156,8.90%,15,10531.86688,10268.57,10000,531.87,0,0,0,Apr-11,8034.34,Dec-15,0
798397,1003517,35000,35000,34950, 60 months,10.99%,760.82,B,B3,7 years,OWN,92500,Source Verified,Jul-11,0,debt_consolidation,NY,6.4,0,Feb-00,0,,9,0,6693,20%,27,35320.91,35270.45,35000,320.91,0,0,0,Aug-11,35322.96,Aug-11,0
627063,803517,3200,3200,3200, 36 months,18.54%,116.56,F,F3,< 1 year,RENT,54000,Source Verified,Dec-10,1,debt_consolidation,CA,2.8,0,Jul-07,0,,3,0,1679,98.80%,7,824.35,824.35,418.31,280.57,0,125.47,1.28,Jun-11,116.56,Nov-11,0
517972,669493,25000,18375,18185.10648, 36 months,10.25%,595.07,B,B2,3 years,RENT,63235,Verified,May-10,0,debt_consolidation,CA,14.25,0,Feb-99,1,,8,0,16381,47.50%,24,21283.71729,21040.87,18375,2908.72,0,0,0,Nov-12,4650.61,Dec-14,0
459168,572162,12000,12000,11864.08273, 36 months,8.94%,381.26,A,A5,< 1 year,RENT,38200.08,Not Verified,Nov-09,0,debt_consolidation,NJ,0.94,0,May-79,1,,8,0,201,0.50%,13,13726.21651,13569.81,12000,1726.22,0,0,0,Nov-12,420.69,Nov-12,0
761412,961872,2000,2000,2000, 36 months,12.99%,67.38,C,C1,7 years,RENT,80000,Source Verified,May-11,0,medical,CO,11.23,0,Sep-98,2,38,5,0,158,10.50%,16,2296.941596,2296.94,2000,296.94,0,0,0,Nov-12,1220.89,Jan-15,0
579482,745017,10000,10000,9975, 36 months,17.93%,361.18,E,E5,4 years,RENT,60000,Source Verified,Sep-10,1,debt_consolidation,CA,16.24,0,May-06,3,,10,0,16130,60.90%,20,360.49,359.59,211.36,149.13,0,0,0,Oct-10,361.18,May-16,0
981998,1205183,9000,9000,9000, 36 months,11.71%,297.69,B,B3,9 years,MORTGAGE,43000,Not Verified,Oct-11,0,renewable_energy,FL,23.25,0,Dec-02,0,,9,0,3106,72.40%,19,10716.58,10716.58,9000,1716.58,0,0,0,Oct-14,308.04,Jul-15,0
573415,737560,10000,10000,10000, 36 months,13.61%,339.89,C,C2,10+ years,MORTGAGE,53004,Not Verified,Sep-10,1,debt_consolidation,VA,21.12,0,Jun-92,0,31,5,0,8981,81.60%,22,11941.09,11941.09,9669.52,2226.1,0,45.47,0.4547,Sep-13,45.35,May-14,0
540502,697811,24250,24250,19851.44523, 60 months,13.61%,559.37,C,C2,5 years,RENT,46560,Verified,Jul-10,1,house,PA,18.97,0,Aug-03,0,,5,0,9010,42.70%,10,31750.42,24079.37,22033.33,9254.41,27.97,434.71,78.24779999,Mar-15,1706.08,Aug-15,0
780079,982833,14400,14400,14400, 36 months,8.90%,457.25,A,A5,4 years,RENT,59000,Not Verified,Jun-11,0,credit_card,TX,10.72,0,Oct-05,0,,5,0,20380,63.90%,10,15337.03068,15337.03,14400,937.03,0,0,0,Aug-12,1305.23,Jul-15,0
976502,1199242,5500,5500,5500, 36 months,11.71%,181.92,B,B3,1 year,RENT,18000,Source Verified,Oct-11,1,car,CA,20.43,0,Jul-96,3,,7,0,7015,53.10%,7,1708.56,1708.56,1060.27,393.09,0,255.2,2.48,Jun-12,181.92,Nov-14,0
849761,1061500,4000,4000,4000, 60 months,16.89%,99.18,D,D4,< 1 year,RENT,35832,Source Verified,Aug-11,1,other,PA,4.02,0,Oct-05,1,39,17,0,895,89.50%,19,3258.54,3258.54,173.52,219.44,0,2865.58,708.195,Dec-11,99.18,May-16,0
